ID,Category,Artist,Title,Year,Image URL,Painting Info URL,Artist Info URL,dcolor,rgb,palette,dcname
58c6237dedc2c9c7dc0de1ae,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,1889,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,https://www.wikiart.org/en/charles-courtney-curran/in-the-luxembourg-garden-1889,https://www.wikiart.org/en/charles-courtney-curran,"(43, 46, 20)","[(63, 64, 26), (191, 169, 126), (152, 157, 117), (146, 142, 134)]","['darkolivegreen', 'darkkhaki', 'gray', 'gray']",black
577280dfedc2cb3880f28e76,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,1984,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,https://www.wikiart.org/en/keith-haring/the-marriage-of-heaven-and-hell-1984,https://www.wikiart.org/en/keith-haring,"(29, 26, 22)","[(214, 211, 207), (30, 27, 23), (103, 96, 91), (112, 108, 98)]","['lightgray', 'black', 'dimgray', 'dimgray']",black
57727f2dedc2cb3880ed5fa9,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,1906,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,https://www.wikiart.org/en/jozsef-rippl-ronai/uncle-piacsek-in-front-of-the-black-sideboard-1906,https://www.wikiart.org/en/jozsef-rippl-ronai,"(133, 105, 104)","[(171, 140, 113), (39, 38, 43), (183, 184, 213), (91, 55, 50)]","['rosybrown', 'darkslategray', 'lightsteelblue', 'darkolivegreen']",dimgray
58d1240cedc2c94f900fc610,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,1920,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920,https://www.wikiart.org/en/vadym-meller,"(214, 173, 116)","[(217, 175, 117), (101, 79, 57), (118, 104, 79), (215, 213, 187)]","['burlywood', 'darkolivegreen', 'dimgray', 'lightgray']",burlywood
57727de7edc2cb3880e91f26,Romanticism,David Wilkie,The Defence of Sarago&#231;a,1828,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a,https://www.wikiart.org/en/david-wilkie,"(199, 174, 138)","[(57, 44, 35), (199, 174, 138), (160, 154, 148), (137, 133, 138)]","['darkslategray', 'tan', 'darkgray', 'gray']",tan
57728297edc2cb3880f81f5b,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",1909,https://uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,https://www.wikiart.org/en/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909,https://www.wikiart.org/en/lyonel-feininger,"(92, 127, 172)","[(92, 126, 171), (216, 203, 219), (61, 54, 61), (158, 209, 229)]","['steelblue', 'thistle', 'darkslategray', 'lightblue']",steelblue
5772797dedc2cb3880db5504,Realism,Nikolai Ge,Last Supper,1863,https://uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,https://www.wikiart.org/en/nikolai-ge/last-supper,https://www.wikiart.org/en/nikolai-ge,"(36, 41, 27)","[(40, 42, 28), (208, 108, 40), (121, 126, 108), (128, 140, 124)]","['darkslategray', 'chocolate', 'gray', 'gray']",black
57726e48edc2cb3880b69b14,Realism,Charles-Francois Daubigny,Spring,1857,https://uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,https://www.wikiart.org/en/charles-francois-daubigny/spring-1857,https://www.wikiart.org/en/charles-francois-daubigny,"(185, 183, 165)","[(59, 63, 46), (185, 183, 164), (163, 164, 149), (155, 153, 142)]","['darkslategray', 'darkgray', 'darkgray', 'darkgray']",darkgray
57728255edc2cb3880f7644a,Minimalism,Robert Smithson,Mirror and Crushed Shells,1969,https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969,https://www.wikiart.org/en/robert-smithson,"(51, 53, 39)","[(211, 205, 197), (52, 53, 39), (99, 94, 82), (130, 105, 81)]","['lightgray', 'darkslategray', 'dimgray', 'dimgray']",darkslategray
5772843bedc2cb3880fd334d,Minimalism,Richard Serra,One Ton Prop (House of Cards),1969,https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969,https://www.wikiart.org/en/richard-serra,"(97, 88, 73)","[(99, 89, 73), (214, 174, 125), (166, 164, 157), (166, 164, 148)]","['darkolivegreen', 'burlywood', 'darkgray', 'darkgray']",darkolivegreen
